iter	Passed	Remaining
0	1	1247
1	2	1187
2	3	1116
3	4	1087
4	5	1153
5	7	1170
6	8	1163
7	9	1150
8	11	1216
9	12	1212
10	13	1192
11	14	1179
12	15	1172
13	16	1165
14	17	1162
15	18	1168
16	20	1194
17	22	1223
18	25	1331
19	27	1337
20	28	1339
21	30	1338
22	31	1337
23	32	1340
24	34	1338
25	36	1360
26	38	1373
27	39	1371
28	66	2210
29	75	2449
30	79	2484
31	80	2434
32	81	2384
33	82	2334
34	83	2289
35	83	2249
36	85	2220
37	87	2225
38	89	2193
39	89	2159
40	91	2129
41	92	2101
42	93	2076
43	94	2051
44	95	2025
45	96	2000
46	104	2127
47	106	2111
48	107	2093
49	109	2074
50	110	2056
51	111	2039
52	113	2022
53	114	2005
54	115	1987
55	116	1971
56	118	1956
57	119	1936
58	120	1916
59	121	1896
60	121	1877
61	122	1858
62	123	1841
63	124	1824
64	125	1807
65	126	1791
66	127	1775
67	128	1759
68	129	1749
69	130	1738
70	132	1728
71	133	1715
72	134	1702
73	135	1689
74	136	1677
75	137	1665
76	137	1653
77	138	1641
78	139	1630
79	140	1619
80	141	1608
81	142	1598
82	143	1584
83	144	1575
84	145	1566
85	146	1557
86	147	1548
87	148	1540
88	149	1531
89	150	1524
90	151	1515
91	152	1507
92	153	1500
93	155	1499
94	156	1491
95	157	1483
96	158	1475
97	159	1467
98	160	1460
99	161	1453
100	162	1445
101	163	1437
102	164	1432
103	165	1427
104	167	1424
105	168	1416
106	169	1410
107	169	1403
108	170	1396
109	171	1389
110	172	1383
111	173	1377
112	174	1371
113	175	1367
114	177	1366
115	178	1363
116	179	1356
117	180	1350
118	181	1345
119	182	1340
120	183	1335
121	184	1329
122	185	1324
123	186	1319
124	187	1315
125	189	1313
126	190	1307
127	191	1307
128	193	1303
129	194	1298
130	195	1294
131	196	1289
132	197	1285
133	198	1280
134	199	1276
135	200	1271
136	201	1266
137	202	1262
138	203	1258
139	204	1255
140	205	1253
141	206	1247
142	207	1243
143	208	1238
144	209	1234
145	210	1230
146	211	1226
147	212	1222
148	213	1218
149	214	1214
150	215	1210
151	216	1206
152	217	1203
153	218	1199
154	219	1196
155	220	1194
156	221	1190
157	222	1186
158	223	1182
159	224	1179
160	225	1174
161	226	1170
162	227	1166
163	228	1163
164	229	1159
165	230	1155
166	230	1151
167	231	1148
168	232	1145
169	233	1141
170	235	1140
171	236	1140
172	237	1137
173	238	1134
174	239	1130
175	240	1127
176	241	1124
177	242	1121
178	243	1118
179	244	1115
180	245	1111
181	246	1108
182	247	1106
183	249	1104
184	250	1101
185	251	1098
186	252	1095
187	253	1093
188	254	1090
189	255	1087
190	256	1084
191	257	1081
192	257	1078
193	258	1075
194	259	1072
195	260	1069
196	261	1067
197	262	1064
198	263	1061
199	264	1058
200	265	1055
201	266	1054
202	268	1052
203	269	1052
204	270	1049
205	271	1047
206	272	1044
207	273	1042
208	274	1039
209	275	1037
210	276	1035
211	277	1032
212	278	1030
213	280	1029
214	281	1028
215	282	1026
216	283	1024
217	284	1021
218	285	1019
219	286	1016
220	287	1014
221	288	1012
222	289	1009
223	290	1007
224	291	1005
225	292	1003
226	293	1000
227	295	999
228	295	996
229	297	995
230	298	993
231	299	991
232	300	989
233	301	986
234	302	984
235	303	982
236	304	980
237	305	978
238	306	976
239	307	973
240	308	972
241	310	971
242	311	970
243	312	968
244	313	966
245	314	964
246	315	961
247	316	959
248	317	958
249	318	956
250	319	954
251	320	952
252	321	950
253	322	948
254	324	946
255	325	945
256	326	944
257	327	943
258	329	941
259	330	939
260	331	937
261	332	935
262	332	933
263	334	931
264	335	929
265	336	927
266	337	925
267	338	924
268	339	922
269	340	921
270	341	919
271	342	917
272	343	915
273	344	913
274	345	911
275	346	909
276	347	907
277	348	906
278	349	904
279	350	902
280	351	900
281	352	898
282	354	897
283	355	895
284	356	893
285	358	893
286	359	891
287	359	889
288	361	888
289	362	886
290	362	884
291	363	882
292	364	880
293	365	878
294	367	877
295	368	876
296	369	874
297	370	873
298	371	871
299	372	869
300	373	868
301	374	866
302	375	864
303	376	862
304	377	860
305	378	858
306	379	857
307	380	855
308	381	853
309	382	852
310	384	851
311	385	849
312	386	848
313	387	846
314	388	844
315	389	843
316	390	841
317	391	839
318	392	837
319	393	836
320	394	834
321	395	832
322	396	831
323	397	830
324	398	828
325	399	826
326	400	825
327	401	823
328	402	821
329	403	820
330	404	818
331	405	816
332	406	814
333	407	813
334	408	811
335	410	810
336	411	809
337	412	807
338	413	806
339	414	804
340	415	802
341	416	801
342	417	799
343	418	797
344	419	795
345	420	794
346	421	792
347	422	791
348	423	789
349	424	787
350	425	786
351	426	785
352	427	783
353	428	782
354	429	780
355	430	778
356	431	777
357	432	775
358	433	774
359	434	772
360	435	771
361	436	769
362	437	768
363	438	766
364	439	765
365	440	763
366	442	763
