iter	Passed	Remaining
0	1	117
1	2	107
2	3	109
3	4	101
4	5	100
5	6	101
6	7	101
7	8	101
8	10	101
9	11	100
10	12	102
11	13	102
12	15	101
13	16	100
14	17	100
15	19	100
16	20	99
17	21	98
18	22	96
19	23	94
20	24	93
21	26	92
22	27	91
23	28	91
24	30	91
25	31	89
26	32	88
27	34	87
28	35	86
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	79
35	44	78
36	45	77
37	46	75
38	47	74
39	48	73
40	50	72
41	50	69
42	51	68
43	53	67
44	54	66
45	55	64
46	56	63
47	58	63
48	60	63
49	61	61
50	63	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	79	43
65	81	41
66	82	40
67	83	39
68	84	38
69	85	36
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	109	13
89	110	12
90	111	11
91	112	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	121	2
98	122	1
99	123	0
